Thu Apr 28 19:56:11 2022    stats.txt

         19705377 function calls (19694216 primitive calls) in 11.170 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008   11.170   11.170 /Users/shania/cs200/search/search-rmao8-zguo47/index.py:24(__init__)
      107    0.270    0.003    6.163    0.058 /Users/shania/cs200/search/search-rmao8-zguo47/index.py:63(token_stop_stem)
   166583    0.626    0.000    5.719    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:654(stem)
   922774    1.685    0.000    3.222    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:248(_apply_rule_list)
        1    2.339    2.339    2.909    2.909 /Users/shania/cs200/search/search-rmao8-zguo47/index.py:97(fill_word_doc_relevance)
        1    1.667    1.667    1.953    1.953 /Users/shania/cs200/search/search-rmao8-zguo47/file_io.py:38(write_words_file)
152642/152101    0.468    0.000    1.717    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:435(_step2)
  9034318    1.425    0.000    1.425    0.000 {method 'endswith' of 'str' objects}
   152101    0.196    0.000    1.271    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:543(_step4)
   152101    0.159    0.000    0.557    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:515(_step3)
   152101    0.111    0.000    0.414    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:276(_step1a)
   152101    0.165    0.000    0.373    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:303(_step1b)
  2028399    0.352    0.000    0.352    0.000 {built-in method math.log}
    97369    0.205    0.000    0.343    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:147(_measure)
   152101    0.076    0.000    0.316    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:603(_step5a)
  2066527    0.281    0.000    0.281    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   152101    0.107    0.000    0.225    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:387(_step1c)
2542777/2542745    0.203    0.000    0.203    0.000 {built-in method builtins.len}
   152101    0.086    0.000    0.177    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:639(_step5b)
        1    0.114    0.114    0.125    0.125 /Users/shania/cs200/search/search-rmao8-zguo47/index.py:134(fill_id_to_pagerank)
    29323    0.013    0.000    0.122    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:571(<lambda>)
524617/521971    0.121    0.000    0.121    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:126(_is_consonant)
    12833    0.009    0.000    0.119    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/re.py:233(findall)
